hlr_imperial_throne	The Imperial Throne
village_militia	Village Militia
don_dien	Don Dien
thuan_thien	Thuan Thiên
literary_reform	Literary Reform
maj_nusantara_tributaries	Nusantara Tributaries
maj_restore_candi	Restore Candi Shrines
maj_maritime_silk_road	The Maritime Silk Road
maj_nusa_tenggara	Nusa Tenggara Colonies
maj_gajah_madas_oath	Gajah Mada's Oath
maj_majapahit_armada	The Majapahit Armada
maj_reformed_bhattara_saptaprabhu	Reformed Bhattara Saptaprabhu
export_economy	Export Economy
islamise_sumatra	Islamize Sumatra
rise_of_aceh	Rise of Aceh
military_adventures	Military Adventures
porch_of_mecca	Porch of Mecca
acehnese_moneylending	Acehnese Moneylending
settle_the_islands	Settle the Islands
bli_island_settlers	Island Settlers
javanese_culture	Imported Javanese Culture
aristocratic_refugees	Aristocratic Refugees
staunch_hindus	Staunch Hindus
conquerer_dalems	Conquerer Dalems
hindu_reformation	Hindu Reformation
rivals_to_slaves	Rivals to Slaves
candi_shrines	Candi Shrines
sunda_galuh	Union of Sunda and Galuh
defensive_moats	Defensive Moats
wooden_architecture	Elaborate Wooden Architecture
pan_asian_trade	Pan-Asian Trade
seren_taun	Seren Taun
bi_yearly_harvest	Bi-Yearly Harvest
bei_galleys	Galley Fleet
bei_sea_nomads	Sea Nomads
bei_diplomacy	Bruneian Diplomacy
bei_vassals	Hegemon of Borneo
settle_the_islands	Settle the Islands
bei_naval_prowess	Naval Prowess
bei_trade	Merchant Alliances
mlc_vassal_princes	Vassal Princes
mlc_maritime_laws	Maritime Laws
mlc_new_hegemony	Malaccan Hegemony
mlc_islamic_sultanate	Islamic Sultanate
mlc_habor_masters	Harbor Masters
mlc_daulat	Dualat
mlc_jawi_script	Jawi Script
settle_the_islands	Settle the Islands
msa_advanced_galley_warfare	Advanced Galley Warfare
msa_expert_haggling	Expert Hagglers
msa_chart_the_seas	Chart the Isles
msa_in_every_port	Malay Merchants in Every Port
msa_sea_nomads_steering	Agreements with the Sea Nomads
msa_spice_kings	Spice Kings
sia_royal_poets	Royal Poets
sia_advanced_elephant_warfare	Advanced Elephant Warfare
sia_experienced_ambassadors	Experienced Ambassadors
sia_encourage_immigration	Encourage Immigration
sia_integrating_the_realm	Consolidation of the State
sia_education_reform	Education Reforms
sia_royal_absolutism	Royal Absolutism
lfa_free_elections	Free Elections
lfa_mining_syndicates	Mining Syndicates
lfa_careful_diplomacy	Careful Diplomacy
lfa_national_militia	National Militia
lfa_integrate_local_communities	Integrate Local Communities
lfa_improved_mining_techniques	Improved Mining Techniques
lfa_state_expansion	Expansion of the State
lig_autonomous_subject	Autonomous Subject
lig_religious_conversion	Buddhist Conversion
lig_vassal_cities	Vassal Cities
lig_trade_primacy	Trade Primacy
lig_bridge_to_malaya	Bridge to Siam
lig_spirit_of_rebellion	Rebellious Spirits
lig_trade_protection	Protect Ligori Trade
plb_ancient_scriptures	Ancient Scriptures
plb_pirate_ancestry	Pirate Ancestry
plb_controlling_the_strait	Controlling the Strait
plb_center_of_the_dynasty	Center of the Dynasty
plb_trading_hub	Trading Hub
plb_through_the_monsoon	Through the Monsoon
plb_learned_scholars	Learned Scholars
ban_struck_down_by_diamonds	Struck Down by Diamonds
ban_surrounded_by_stars	Surrounded by Stars
ban_from_east_to_west	From East to West
ban_rebuttal	Rebuttal
ban_fertile_lands	Fertile Lands
ban_by_the_river	By the River
ban_cultural_richness	Cultural Richness
sul_sultanate_of_sulu	Sultanate of Sulu
sul_makhdum_teachings	Makhdum's Teachings
sul_across_the_sulu_sea	Across the Sulu Sea
sul_port_of_jolo	Port of Jolo
sul_dagat_sulu	Dagat Sulu
sul_coconut_plantations	Coconut Plantations
sul_pearl_farming	Pearl Farming
crb_negara_gede	Negara Gede
crb_tari_topeng	Tari Topeng
crb_alis_panther	Ali's Panther
crb_mount_ciremai	Mount Ciremai
crb_islamic_schools	Islamic Schools
crb_batik_textiles	Batik Textiles
crb_royal_lineage	Royal Lineage
tonga_tangaloa	The Tangaloa Mythos
tonga_pulotu	Pulotu's Creation
tonga_maui	The Islands of Maui
tonga_polynesian	True Claimants to Polynesia
tonga_tongatapu	The Bells of Tongatapu
tonga_craftsman	Ancient Tongan Craftsmanship
tonga_oceanic_empire	The Oceanic Empire
samoa_musical	Samoan Musical Culture
samoa_faa	Fa'a Samoa
samoa_mauluulu	Maulu'ulu
samoa_foreign	Acceptance of the Foreign Missionaries
samoa_tatau	Tatau
samoa_faavae	Fa'avae I Le Atua Samoa
samoa_trade	Polynesian Triangle Trade
end_of_diaspora	End of Diaspora
national_myths_restored	National Myths Restored
return_home	Return Home
jewish_trade_tradition	Jewish Trade Tradition
pious_people	Pious People
people_of_exile	People of Exile
the_chosen_people	The Chosen People
oyo_yoruba_origin_story	Yoruba Origin Story
oyo_oduduwa_mythos	Oduduwa Mythos
oyo_ile_ife_protector	The City of 401 Deities
oyo_balnce_of_power	Balance of Power
oyo_the_oyo_cavalry	The Oyo Cavalry
oyo_emporium_of_the_south	Emporium of the South
oyo_feudal_unity	Feudal Unity
zan_kilwa_latitude_staves	Kilwan Latitude Staves
zan_shirazis_legacy	Shirazi's Legacy
zan_the_deal_with_almuli	The Deal with King Almuli
zan_kilwa_the_melting_pot	Cultural Melting Pot
zan_gold_of_sofala	Gold of Sofala
zan_trade_center_of_zanzibar	Merchants of Zanzibar
zan_center_of_migration	Center of Migration
gzi_stone_masonry	Stone Masonry
gzi_ivory_trade	Ivory Trade
gzi_gold_deposits	Gold Deposits
gzi_zimbabwes_walls	Zimbabwe's Walls
gzi_lay_of_the_land	Lay of the Land
gzi_tributary_system	Tributary System
gzi_zimbabwe_birds	Zimbabwe Birds
aks_stellae_builders	Stellae Builders
aks_legacy_of_king_kaleb	Legacy of King Kaleb
aks_persian_revenge	Persian Revenge
aks_christianity_stronghold	Christianity Stronghold
aks_mediterranean_contacts	Mediterranean Contacts
aks_trade_hub	Trade Hub
aks_coin_minting	Coin Minting
SOM_land_of_punt	Land of Punt
SOM_african_silk_road	African Silk Road
SOM_african_minting	African Minting
SOM_zeila_and_berbera	Zeila and Berbera
SOM_blue_nile	The Blue Nile
SOM_indian_merchants	Indian Merchants
SOM_faithful_to_allah	Faithful to Allah
kit_legacy_of_the_gods	Legacy of the Gods
kit_empire_of_the_light	Empire of the Light
kit_memory_of_aksum	Memory of Aksum
kit_lakes_dominance	Lakes Dominance
kit_bachwezi_earthworks	Bachwezi Earthworks
kit_nile_conquest	Nile Conquest
kit_rich_history	Rich History
nbi_our_land	Our Land
nbi_religious_friction	Religious Friction
nbi_desert_knowledge	Desert Knowledge
nbi_military_strength	Military Strength
nbi_nile_control	Nile Control
nbi_christian_ties	Christian Ties
nbi_egyptian_relations	Egyptian Relations
ada_our_infinite_struggle	Our Infinite Struggle
ada_a_monarchial_imamate	A Monarchical Imamate
ada_zeila_and_harar	Zeila and Harar
ada_mujahiduir_cavalry	Mujahiduir Cavalry
ada_unite_the_clans	Unite the Clans
ada_yahu_yahu	Yahu Yahu
ada_embrace_the_cannons	Embrace the Cannons
jol_legacy_of_ndiadiane_ndiaye	Legacy of Ndiadiane Ndiaye
jol_adherents_of_islam	Adherents of Islam
jol_tribute_of_the_five_kingdoms	The Tribute of the Five Kingdoms
jol_ambassadors_abroad	Ambassadors Abroad
jol_qadi_tribunals	Qadi Tribunals
jol_wolof_griots	Wolof Griots
jol_paying_the_waref	Paying the Waref
zul_confederacy_of_clans	Confederacy of Clans
zul_the_ukubuthwa	The Ukubuthwa
zul_the_impi_warriors	The Impi Warriors
zul_zulu_expansion	Zulu Expansion
zul_warrior_culture	Warrior Culture
zul_shaka_reforms	Shaka's Reforms
zul_conquest_through_patronage	Conquest through Patronage
