aac_charlemagne_capital	Charlemagne's Capital
helping_end_the_western_schism	Helping End the Western Schism
patrons_of_parisian_and_italian_styles	Patrons of Grand Styles
keeping_royal_power_safe	Keeping Royal Power Safe
all_for_france	All for France
BEU_thirteen_districts	Thirteen Districts
BEU_kalimantan	Kalimantan
BEU_wood	Tropical Wood
BEU_fisheries	Large Fisheries
BEU_borneo_culture	Berau Culture
BEU_borneo_language	Berau Language
BEU_Islamic_adoption	Islamic Adoption
rajput_and_malvi_influences	Rajput and Malvi Influences
the_fake_subject_state	The Fake Subject
our_natural_terrain	Our Natural Terrain
leagued_with_western_shore_pirates	Pirates? With Baglana?
rein_in_the_chiefs_under_the_raja	Rein in the Chiefs of Baglana
rivals_in_khandesh	Rivals in Khandesh
reshape_military_ranks_in_baglana	Reshaping the Military of Baglana
gujuarti_connections	Gujarati Connections
solanki_rajputs	Solanki Rajputs
tigers_of_the_vindhyan_range	Tigers of the Vindhyan Range
rajput_merging_identity	Merging of Identities
reformation_of_baghel_succession	Succession Reforms
bagelkhand_school_of_painting	School of Painting
control_of_the_vindhyans	Control of the Vindhyan Range
bha_modernized_war_elephants	Modernized War Elephant Tactics
bha_united_india	Unite the Subcontinent
bha_sanskrit_golden_age	Golden Age of Sanskrit Literature
bha_indian_army	Indian Army
bha_ganga	Ganga
bha_brahmin_administration	Brahmin Administration
bha_rocketry	Develop Rocket Technology
BHR_gaelic_farmers	Gaelic Farmers.
BHR_celtic_league	Celtic League
BHR_highland_scourge	Alba gu brath
BHR_highland_fortresses	Highland Defenses
BHR_open_seas	Gate to the Atlantic.
BHR_legacy_boudica_wallace	Legacy of great leaders.
BHR_protect_the_coast	Celtic Army.
kurdish_diplomacy	Active Diplomacy
kurdish_mercenaries	Kurdish Mercenaries
kurdish_tribes	Kurdish Tribes
kurdish_warriors	Mountain Warriors
legacy_of_the_kurdish_dynasties	Legacy of the Kurdish Dynasties
gorani_literature	Gorani Literature
li_gora_gawiri_kurd_misilman	Li Gora Gawirî Kurd Misilman e
BHU_veterans	Bhutanese Veterans
BHU_syncretism	Syncretism
BHU_arranged_marriages	Arranged Marriages
BHU_ambitious_generals	Ambitious Generals
BHU_siegemasters	Siegemasters
BHU_superior_administration	Superior Administration
BHU_cultural_diffusion	Cultural Diffusion
BIH_fertile_plains	Fertile Plains
BIH_birthplace_of_empires	Birthplace of Empires
BIH_cultural_center_of_india	Cultural Center of India
BIH_ganga_trade	Ganga Trade
BIH_riches_of_patna	Riches of Patna
BIH_legacy_of_the_golden_age	Legacy of the Golden Age
BIH_religious_diversity	Religious Diversity
sufis_of_bijapur	Sufis of Bijapur
capital_of_commerce_and_culture	Commerical and Cultural Hub
palmyra_of_the_deccan	The Palmyra of the Deccan
southward_Ambition	Southward Ambition
new_age_of_indian_warfare	New Age of Indian Warfare
develop_the_water_systems_and_hospitals	Develop Water Systems and Hospitals
institute_educational_systems	Institute Educational Systems
BKJ_chinese_tech	Chinese Technologies
BKJ_nambuyeo	Nambuyeo
BKJ_jeongsa_council	The Jeongsa Rock Council
BKR_japanese_ties	Japanese Imperial Family Ties
BKJ_art	Flourishing Art
BKJ_kept_fighting	Kept on Fighting
BKJ_buddhism	Buddhism Patronage
the_original_three_peoples	The Original Three Peoples
flexible_bands_for_blackfoot_society	Flexibility in our Bands
promote_the_warrior_societies	Promote the Warrior Societies
expanding_blackfoot_grounds	Expanding Blackfoot Grounds
taming_the_plains_by_force	Taming the Plains
the_use_of_bison	The Use of Bison
neutrality_in_various_affairs	Diplomatic Neutrality
hindu_sufi_syncretism	Bengali Hindu-Sufi Syncretism
ganges_brahmaputra_confluence	Ganges-Brahmaputra Confluence
rice_fields	Bengal's Endlessly Productive Rice Fields
mustard_oil_ilish_mach	Mustard Oil & Ilish Mach
jute_production	Jute Production
opium_fields	Opium Fields of Bengal
bengali_renaissance	The Bengal Renaissance
BLG_etruscan	Etruscan Origins
BLG_bentivoglio	Bentivoglio Family
BLG_papal_rebellion	Rebellion Against the Papacy
BLG_la_grassa	La Grassa
BLG_la_rossa	La Rossa
BLG_la_turrita	La Turrita
BLG_la_dotta	La Dotta
candi_shrines_of_bali	Candi Shrines of Bali
links_with_china	Links with China
inheritor_of_majapahit	Inheritor of Majapahit
javanese_court_culture	Javanese Court Culture
royal_libraries_for_manuscripts	Royal Libraries
bastion_of_indojavanese_culture	Bastion of Javanese Culture
restoration_of_the_true_javanese	Restoration of the Javanese
blo_martial_heritage	Martial Heritage
blo_monastic_traditions	Monastic Traditions
blo_strengthen_local_lineages	Strengthen Local Lineages
blo_control_the_northern_trade	Northern Trade
blo_officers_of_beloozero	Officers of Beloozero
blo_winter_warfare	Boreal Warfare
blo_scientific_patronage	Scientific Patronage
BLT_granary_north	The Granary of the North
BLT_defender_pagans	Defender of the Northern Pagans
BLT_land_of_cav	Land of Cavalry
BLT_organize_army	Organized Army
BLT_horse_breeders	Horse Breeders
BLT_strong_leaders	Strong Leaders
BLT_religious_combat	Religious Combat
alongside_majapahit	Alongside Majapahit
remember_the_paregreg_war	Memories of the Paregreg War
lonely_hindu_kingdom	The Lonley Hindu Kingdom
fending_off_foreign_interests	Fending off Foreigners
expel_muslim_insurgents	Expel the Muslim Insurgents
centralize_trading_authority	Centralizing Trade
restore_javanese_peace	Restoration of Java
descendants_of_the_solar_dynasty	Descendants of the Solar Dynasty
natural_defensive_measures	Natural Defenses
legacy_of_the_rajputs	Legacy of the Rajputs
northern_strikes_against_us	Northern Invasions against the Vindhyan
capital_fortress_town_orchha	Capital Fortress Town
chhatris_of_bundela_rulers	Chhatris of Bundelkhand
control_of_the_vindhyans	Control of the Vindhyan Range
BNE_seven_ministers	Seven Ministers
BNE_tellu_bocco_treaty	Tellu Bocco Treaty
BNE_buginese_heritage	Buginese Heritage
BNE_spice_trade	East Indies Spice Trade
BNE_tedduo_nawa	Tedduo Nawa-Nawao
BNE_court_bissu	Court Bissu
BNE_foreign_pact	Foreign Pact
hindu_sufi_syncretism	Bengali Hindu-Sufi Syncretism
ganges_brahmaputra_confluence	Ganges-Brahmaputra Confluence
rice_fields	Bengal's Endlessly Productive Rice Fields
mustard_oil_ilish_mach	Mustard Oil & Ilish Mach
jute_production	Jute Production
opium_fields	Opium Fields of Bengal
bengali_renaissance	The Bengal Renaissance
unify_south_kalimantan	To Unify the Island
ties_to_java	Ties to Java
migratory_ties_around_nusantara	Migratory Ties
cooperate_with_the_dayak_people	Equals with the Dayak People
repel_the_javanese	Repel Coastal Invasions
trade_with_makassar	Trade with Makassar
securing_bornean_tributaries	Secure Tributary States
BNS_tolerance_in_empire	Tolerance in the Nation
BNS_al_azhar_university	Al Azhar University
BNS_north_african_armies	North African Armies
BNS_freedom_of_thought	Freedom of Thought
BNS_from_tunis_to_egypt	From Tunis to Egypt
BNS_turkish_troops	Turkish Troops
BNS_shia_caliphate	Shia Caliphate
BNY_chwezi	Fall of Chwezi
BNY_morale	Morale of Armies
BNY_great_lakes	Great Lake Exploitation
BNY_male_line	Male Line
BNY_religion_and_kingship	Religion and Kingship
BNY_saltworks	Saltworks
BNY_metallurgy	Strong Metallurgy
compacta_of_prague	Compacta of Prague
boh_elective_monarchy	Elective Monarchy
wagenburg	Wagenburg
letter_of_majesty	Letter of Majesty
hussite_legacy	Hussite Legacy
kutnohorian_deal	The Kutnohorian Deal
czech_nationalism	Czech Nationalism
long_range_trading	Long Range Trading
nucleus_at_markets	Markets are our Heart
increase_iron_smelting_capacity	More Iron Smelting
the_akan_gold_trade	The Akan Gold Trade
taxing_trade_routes	Taxes from Trade
bonoman_blacksmithing	Bonoman Blacksmithing
unify_the_bonoman_states	Unify the Bonoman States
heretic_teachings	Heretic Teachings
per_aspera_ad_astra	Per Aspera ad Astra
empower_bosnian_nobility	Empower Bosnian Nobility
italian_connections	Italian Connections
land_of_princes	Land of Princes
flexible_diplomacy	Flexible Diplomacy
over_hills_through_woods	Over the Hills and Through the Woods
siegneur_de_bourbon	Siegneur de Bourbon
legacy_of_the_first_house_of_bourbon	First House of Bourbon
ties_to_burgundy	Ties to Burgundy
defending_our_claims	Defending our Claims
royalty_in_france_proper	Royalty in France
grace_from_charles_iv	Grace from Charles IV
all_for_france	All for France
BPI_shrewd_dip	Shrewd Diplomacy
BPI_rel_merc	Mercenary Army
BPI_library	Library in each town
BPI_legacy	Persian Legacy
BPI__fleet	Biapan Fleet
BPI_architecture	Biapas Architecture
BPI_army_reform	Army Reform
bpr_fortress_prome	Fortress Prome
bpr_raiders	Prome Raiders
bpr_pyu_city_states	Pyu City States
bpr_opportunistic_diplomacy	Opportunistic Diplomacy
bpr_mercenary_recruitment	Mercenary Recruitment
bpr_beyone_prome	Beyond Prome
bpr_seat_of_governors	Seat of Governors
northern_march	Northern March
kammergericht	Found the Kammergericht
divided_estates	Divide the Estates
bra_pomeranian_wars	Pomeranian Wars
seat_of_the_old_emperors	Seat of the Old Emperors
iron_tooth	Iron Tooth
margrave_council	Geheimer Rat für die Kurmark
brb_charter_of_liberty	Charter of Liberty
brb_marsh_warfare	Marsh Warfare
brb_palace_coudenberg	Palace of Coudenberg
brb_sugar_capital	Sugar Capital of Europe
brb_antwerp_banking	Banks of Antwerp
brb_religious_tolerance	Tradition of Toleration
brb_generality_lands	Generality Lands
lex_saxonum	Lex Saxonum
memories_of_verden	Memories of Verden
deep_pockets	Deep Pockets
free_imperial_city_of_bremen	Free Imperial City of Bremen
vegesack	Vegesack Harbor
bremish_walls	Bremish Walls
foundation_of_bremerhaven	Foundation of Bremerhaven
BRG_heirs_of_lotharingia	The Heirs of Lotharingia
BRG_julich_berg	Duchy of Julich-Berg
BRG_united_duchies	The United Duchies
BRG_seat_of_the_electorate	The Seat of the Electorate
BRG_rhineland_market	The Rhineland Market
BRG_art_gallery	Dusseldorf Art Gallery
BRG_happy_clergy	Respecting the Autonomy of the Clergy
legacy_of_breton_independence	Legacy of Breton Independence
estates_of_brittany	The Estates of Brittany
breton_march	Breton March
breton_catholicism	Breton Catholicism
protect_the_coastline	Protect the Coastline
league_of_the_public_weal	League of the Public Weal
catholicon	The Catholicon
cohesion_in_the_deccan	Cohesion in the Deccan
setup_forges_and_foundries	Setup Forges and Foundries
modernizing_weaponry	Modernizing our Weapons
fortification_artillery	Fortification Artillery
reforming_the_succession_of_berar	Reforming the Berari Succession
meritocratic_military_organization	Merit over Blood
sustain_ourselves_from_aggression	Sustain Ourselves from Aggression
BRS_port_town	Port Town
BRS_gold_and_camphor	Gold and Camphor
BRS_separated_administration	Separated Administration
BRS_coastal_seazones	Coastal Seazones
BRS_religious_unity	Unity of Faith
BRS_admirals_from_fishermen	Admirals from Fishermen
BRS_trade_with_arabia	Trade with Arabia
mongol_subjects	Mongol Subjects
ties_to_the_oirat	Ties to the Oirat
kinship_of_the_buryats	Kinship of the Buryats
religion_of_the_buryats	Religion of the Buryats
migration_and_semi_nomadic_life	Semi-Nomadic Life
siberian_forest_combat	Siberian Forest Combat
enduring_buryats	Enduring Buryats
bru_welfian_dynasty	The Welfian Dynasty
han_niedersachsicher_reichskreis	Niedersächsicher Reichskreis
bru_residenzstadt_wolfenbuttel	Residenzstadt Wolfenbüttel
bru_herzog_august_bibliothek	Herzog August Library
bru_trade_guilds	Brunswicker Guilds
bru_leibnitz_lessing	Leibnitz and Lessing
bru_schwarze_schar	The Black Brunswickers
governorate_general	Governorate General
research_of_nassau	Research of John of Nassau
mines_of_minas_gerais	Mines of Minas Gerais
halting_foreign_incursions	Halting Foreign Incursions
entradas_and_bandeiras	Entradas and Bandeiras
inconfidencia_mineira	Inconfidencia Mineira
old_seat_of_the_empire	Seat of the Empire
BSC_unknown_origins	Unknown Origins
BSC_charlemagne_holding	Charlemagne Holdings
BSC_arnold_of_brescia	Arnold of Brescia
BSC_leagues_of_uprisings	Leagues of Uprisings
BSC_the_violin	The Violins
BSC_valleys_and_lakes	Valleys and Lakes
BSC_capitolium_of_brixia	Capitolum of Brixia
BSG_land_of_soga	Land of the Soga
BSG_source_of_nile	Source of the Nile
BSG_lake_victoria	Lake Victoria
BSG_migration_influx	Migration Influx
BSG_superior_iron	Superior Iron
BSG_kagulu_rock	Kagulu Rock
BSG_soldiers_of_fortune	Soldiers of Fortune
from_the_tiele	From the Tiele
sunni_horde_conquest	Sunni Conquests
holders_for_centuries	Holders for Centuries
turkic_language_intelligibility	Turkic Language Intelligibility
bashkir_military_tradition	Bashkir Military Traditions
traditional_steppe_warfare	Traditional Steppe Warfare
a_formal_bashkir_military	Formalize the Fighting Force
BSR_maqam	Maqam
BSR_basrah	Basrah Port
BSR_arid_climate_iraq	Arid Climate
BSR_sumer	Sumer
BSR_Foreign	Foreign Rule
BSR_church_of_the_east	Church of the East
BSR_two_rivers	Two Rivers
founded_under_the_protection_of_danteshwari	Founded under Protection
link_to_the_telugus	Link to the Kakatiya Dynasty
gondi_knowledge_sharing	Share the Knowledge with Kin
gondi_hinduism	Hinduism of the Adivasi People
keep_bastar_unified	Keep Bastar Unified
succeed_the_kakatiya_dynasty	Succeed the Kakatiya Dynasty
under_the_protection_of_danteshwari	Go Forth without Fear
bti_legacy_of_queen_judith	Legacy of Queen Judith
bti_mountain_kingdom	Mountain Kingdom
bti_kebra_nagast	Kebra Negast
bti_builders_and_artists	Builders and Artisans
bti_gideon_dynasty	Gideon Dynasty
bti_lost_tribe	Lost Tribe of Beta Israel
bti_haskalah	Haskalah
resolve_bitlis_disputes	Resolving Disputes
early_bitlis_foundations	Early Foundations
beyond_being_a_march	Beyond Being A March
eastern_and_western_fighting	Eastern and Western Fighting
protective_ties	Protective Ties
emulate_our_founder	Emulate our Founder
eastern_beylik	Eastern Beylik
consolidate_the_island_chain	Consolidation of the Island Chain
key_trade_links_in_nusantara	Key Trade Links
coastal_defense	Coastal Defenses
those_who_defend	Those Who Defend
ship_building_sector	Harbors and Docks
gunpowder_rise	Gunpowder Influx
enforce_political_cohesion	Enforce Political Cohesion
bts_people_of_the_coast	People of the Coast
malagasy_pirate_ports	Pirate Ports
bts_indivisable_many	The Indivisible Many
bts_gifts_and_hostages	Gifts & Hostages
bts_european_pirate_settlements	European Pirate Communities
bts_royal_justice	Royal Justice
bts_european_diplomacy	European Diplomacy
btu_indianized_society	Indianized Society
btu_northern_nusantara	Northern Nusantara
btu_butuan_trade_connections	Butuan Trade Connections
btu_butuan_goldwork	Butuan Goldwork
btu_balangay	Balangay
btu_protect_the_coastlines	Protect the Coastlines
btu_long_range_diplomacy	Long Range Diplomacy
BUG_kato_kintu	Kato Kintu
BUG_land_of_water	Land of Water
BUG_ganda_villages	Ganda Villages
BUG_amasaza	Amasaza
BUG_minerals_and_gems	Minerals and Gems
BUG_clans_of_buganda	Clans of Buganda
BUG_matooke	Matooke
recovery_from_the_mongol_invasion	Recovering from the Mongols
intellect_center_of_the_islamic_world	Old Intellectual Center
improve_public_education	Improve Public Education
settling_from_the_steppe	Settling from the Steppe
utilizing_fire_and_shock	Fire and Shock
persian_cannoneer_experience	Persian Cannoneers
patronize_learning_and_arts	Patronize Scholars and Artists
bul_idea_1	Confirm The Bulgarian Boyars
bul_idea_2	Root Out the Heresies
bul_idea_3	Unity Before Feuds
bul_idea_4	Reform The Army
bul_idea_5	Reform The Bulgarian Church
bul_idea_6	Military Flexibility
bul_idea_7	Third Rome
golden_fleece	The Order of the Golden Fleece
compagnies_ordonnance	The Compagnies d'Ordonnance
bur_estates_general	Promote the Estates General
reform_of_feudal_army	Reform of the Feudal Army
integrated_towns	Integrate the Towns in the Estates General
freedom_of_worship	Allow Freedom of Worship
bur_regimental_system	Create the Regimental System
BUU_oral_history	Oral Tradition
BUU_rwanda_competition	Competition with Rwanda
BUU_mwami_for_life	Mwami for life
BUU_tutsi_royalty	Tutsi royalty
BUU_succession_struggles	Succession struggles
BUU_lion_fierceness	Fierceness of a lion
BUU_legacy_of_nations	Legacy of prior nations
byt_land_of_the_hohenzollerns	Hohenzollern Margrave
ans_restore_the_burgraviate	Restoring Our Heritage
ans_plassenburg	Plassenburg
ans_franconian_reformers	Franconian Reformers
byt_ordre_de_la_sincerite	Ordre de la Sincérité
byt_gravenreuther_stift	Gravenreuther Stift
byt_margravial_opera_house	Margravial Opera House
regulations_for_mercenaries	Regulations for Mercenaries
repopulation_of_countryside	Repopulation of the Countryside
byz_state_admin_reform	Start Administrative Reform
byz_admin_power	Delegated Power
merchant_class	Byzantine Merchant Class
new_imperial_army	The New Imperial Army
ecumenical_patriarch	Restore the Ecumenical Patriarch
cab_river_trade	River Trade
cab_poison_warfare	Poisonous Warfare
cab_resistance_to_the_pailantipo	Resistance towards the Pailanti'po
cab_rainforests_of_guyana	Rainforests of the Guyana
cab_carib_seafaring	Carib Seafarers
cab_religious_syncretism	Religious Syncretism
cab_integrate_the_garifuna_returners	Integrate the Garifuna
ancestral_grounds_and_burials	Ancestral Burial Grounds
rituals_to_the_lord_of_the_sky	Rituals to the Lord of the Sky
settlers_of_the_mississippi_river	Settlers of the Rivers
fighting_the_osage_and_co	Fighting Rival Tribes
forming_internal_confederacies	Forming Internal Confederacies
great_plains_trade_hub	Great Plains Trade Hub
building_the_caddo_nation	Building the Caddo Nation
mythical_past_of_california	A Mythical Past
abundance_of_food_yearround	An Abundance of Food
come_to_peace_with_native_californians	Come to Peace
the_problem_of_agriculture	The Problem of Agriculture
tame_the_rugid_inlands	The Rugged Californian Wilds
the_advantage_of_bays	Californian Bays
the_gold_rush	Gold?
criollos	Congress of the Criollos
stave_off_bloodshed	Less Bloodshed, More Unity
liberal_minded_locals	Liberal Minded Locals
resolve_regional_disputes	Resolving Regional Differences
proper_city_connections	Proper Communication Networks
constitutional_reforms	Open to Reformation
united_provinces_in_reality	Truly United Provinces
singing_lumberjacks	Singing Lumberjacks
the_hudson_bay_company	The Hudson Bay Company
